domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
external_lung,seed42_main,target_disjoint,6,mid,14992,3765,1642,0.5327216770517762,0.0327216770517762,0.06789269604966162,0.05213204396220159
external_lung,seed42_main,target_disjoint,7,mid,14992,3765,1642,0.5303617571517912,0.030361757151791235,0.06488063613513907,0.04885762717555788
external_lung,seed42_main,target_disjoint,8,late,14992,3765,1642,0.5164779911262583,0.01647799112625825,0.061165992984056276,0.04655571014218414
external_lung,seed42_main,target_disjoint,9,late,14992,3765,1642,0.514470073152951,0.014470073152951013,0.052384044572009555,0.0412506970483964
external_lung,seed42_main,target_disjoint,10,late,14992,3765,1642,0.5138127694678369,0.013812769467836938,0.038877773047914024,0.032445487688976385
external_lung,seed42_main,target_disjoint,11,late,14992,3765,1642,0.5163003932726681,0.01630039327266808,0.02978538864764743,0.02427682810012274
external_lung,seed43,source_disjoint,0,early,15019,3817,2398,0.5442023714186672,0.04420237141866723,0.08389657078232879,0.06271288509619492
external_lung,seed43,source_disjoint,1,early,15019,3817,2398,0.5341356082929352,0.03413560829293516,0.076764449747993,0.05760101549909253
external_lung,seed43,source_disjoint,2,early,15019,3817,2398,0.5331852138009899,0.03318521380098993,0.07267055523624048,0.055378514182730834
external_lung,seed43,source_disjoint,3,early,15019,3817,2398,0.5403947127222921,0.040394712722292114,0.0705124338637887,0.05435010220493652
external_lung,seed43,source_disjoint,4,mid,15019,3817,2398,0.5389612043434925,0.038961204343492484,0.06522521047239273,0.05033317733801069
external_lung,seed43,source_disjoint,5,mid,15019,3817,2398,0.5316871795368328,0.031687179536832755,0.06386653919929666,0.04933179798755812
external_lung,seed43,source_disjoint,6,mid,15019,3817,2398,0.5343944368443133,0.034394436844313314,0.060541771694698876,0.04695207161844451
external_lung,seed43,source_disjoint,7,mid,15019,3817,2398,0.5403753245530419,0.040375324553041936,0.05868070637953276,0.04516266842421977
external_lung,seed43,source_disjoint,8,late,15019,3817,2398,0.5208120537066788,0.020812053706678824,0.054347340964130714,0.042276576664824456
external_lung,seed43,source_disjoint,9,late,15019,3817,2398,0.511514666460109,0.011514666460109013,0.046018023157879756,0.03595556974603366
