domain,seed_tag,split_regime,layer,perm_idx,null_interaction_coef_mean
external_lung,seed42_main,source_disjoint,11,22,-0.0687100683819761
external_lung,seed42_main,source_disjoint,11,23,0.04063054993391144
external_lung,seed42_main,source_disjoint,11,24,-0.04428495992780814
external_lung,seed42_main,source_disjoint,11,25,-0.07849516585072248
external_lung,seed42_main,source_disjoint,11,26,-0.15340620961824447
external_lung,seed42_main,source_disjoint,11,27,0.024647807371248626
external_lung,seed42_main,source_disjoint,11,28,-0.1836932991033349
external_lung,seed42_main,source_disjoint,11,29,-0.025449672641748678
external_lung,seed42_main,source_disjoint,11,30,-0.1078311100232956
external_lung,seed42_main,source_disjoint,11,31,-0.06932802953970252
external_lung,seed42_main,source_disjoint,11,32,-0.1621068817804873
external_lung,seed42_main,source_disjoint,11,33,0.036537820330348865
external_lung,seed42_main,source_disjoint,11,34,-0.042612821191091776
external_lung,seed42_main,source_disjoint,11,35,-0.06898131316501063
external_lung,seed42_main,source_disjoint,11,36,-0.06744485629225164
external_lung,seed42_main,source_disjoint,11,37,-0.12559958706299218
external_lung,seed42_main,source_disjoint,11,38,-0.046939353322605924
external_lung,seed42_main,source_disjoint,11,39,-0.04769325732566465
external_lung,seed42_main,source_disjoint,11,40,-0.20170521368659264
external_lung,seed42_main,source_disjoint,11,41,-0.15714396128873465
external_lung,seed42_main,source_disjoint,11,42,-0.20832707554585495
external_lung,seed42_main,source_disjoint,11,43,-0.16154100358383908
external_lung,seed42_main,source_disjoint,11,44,-0.0156423956337103
external_lung,seed42_main,source_disjoint,11,45,0.032643467485052834
external_lung,seed42_main,source_disjoint,11,46,-0.11407821203117145
external_lung,seed42_main,source_disjoint,11,47,0.0012188777776642363
external_lung,seed42_main,source_disjoint,11,48,-0.11512097130116078
external_lung,seed42_main,source_disjoint,11,49,-0.03003664216907964
external_lung,seed42_main,source_disjoint,11,50,-0.10043809496874034
external_lung,seed42_main,source_disjoint,11,51,0.04395683434088329
external_lung,seed42_main,source_disjoint,11,52,-0.0019328997475725473
external_lung,seed42_main,source_disjoint,11,53,-0.017588196766690063
external_lung,seed42_main,source_disjoint,11,54,0.04995022266878398
external_lung,seed42_main,source_disjoint,11,55,-0.16504099668701125
external_lung,seed42_main,source_disjoint,11,56,-0.07911675879937785
external_lung,seed42_main,source_disjoint,11,57,-0.13775193538017377
external_lung,seed42_main,source_disjoint,11,58,-0.032110268930990706
external_lung,seed42_main,source_disjoint,11,59,0.003241157779445248
external_lung,seed42_main,source_disjoint,11,60,0.01912193281723079
